# GM,diameter,a,e,i,om,w,ma
,7.8,3.775407630338671,.5011951227503952,8.122650127481364,119.7411580634997,13.17407440221874,61.06371446584335
,6.2,4.246480086303573,.1939049560064233,4.546633992033895,114.1548122753023,18.01931880463022,100.7835205272671
,8.4,4.506740229271569,.5559611390453879,9.970761995390649,57.85394437019217,53.34780194974152,336.2395315139392
,2.6,4.0322648712397013426311,0.4619610780504002089941,22.374569417811109417471,66.56463590864907,18.96396783509159,34.65417307778618
,,4.9435893,0.760719,11.7281,67.9235,209.1572,1.1223642
,,28.8435453,0.97405,64.207,355.980,29.298,359.9715976
,4.56,4.161500021015582,.2617095134990785,9.92733274756349,181.9868527345878,200.6202022211424,98.97979457264906
,1.92,3.435252239041289,.5405801452774754,8.95531074820294,314.9280231741077,329.6436674604699,70.87561172651786
,,11.2476696975501,0.860022494401565,17.981415367796,79.18837876601667,358.1910370660319,3.705608922904022
,,7.25148931544269,0.245513956937926,1.94283105545965,331.5811183554936,56.27834376123234,338.345849678193
,4.2,4.942608120060443,.6320098833195152,11.48978062817381,133.8478928043112,47.29736753380379,336.6947505161061
,1.4,3.08544379187977,0.66041266487128,9.22802804858441,141.0929309253469,62.19321855938809,346.0350247582312
,2.2,4.8565622624888,0.585156236902446,3.98545815966324,150.3839203783331,147.1604235988238,10.87169036507149
,3.6,3.34922191681506,.5946651580229637,15.96804647420937,249.8826570554401,191.491979515038,58.08204437832079
,3.22,3.694475044234367,.4265550194772854,5.895996476625905,286.4642423773395,58.29347341080051,332.6336625229019
,1.6,3.021546191968544,.8246720758970018,4.252433260900838,89.00218090291999,326.2580403750489,42.638552274391
,1.2,3.087646694227751,.659202561356482,11.75713931185802,82.16439076917047,356.3402053363259,57.51960214822232
,5.6,4.120425509397721,.3169895596184338,13.03574322076638,356.9970887998237,357.8626404488979,225.2060611563332
,5.74,3.634473678659963,.3812385063810066,13.96682257238026,116.7657597518544,208.2784435313408,124.1225150977846
,8.48,3.566556837561493,.6002741375112215,19.0561588304762,118.8320203776275,332.9187091007017,154.3344573629339
,1.9,4.0884590329145389375753,0.5294720134830936952852,19.158363566038730141372,355.3246436489589,49.03440507779702,57.91719917293964
,4.8,3.7042738957477299166498,0.5443258816987651682595,5.4282408847383782912743,83.77593916406661,269.1816230344729,28.42073011796866
,4.8,3.58228815225345,0.562202360099426,8.65734616516824,119.1719177421749,233.646973634671,36.9470985613288
,2.6,3.859004049492325,.5405274276229892,10.23134035000531,336.8515028576929,139.6064364004181,9.81293068798503
,6.66,5.413230189810748,.5508876254947508,6.606143076580348,148.9162002225548,134.1051911394794,298.3241409090715
,,3.7904782930723568412645,0.4270474945217546114406,6.0671607093682196065742,358.8600316230779,1.933331420129209,339.8904731313036
,3.6,10.3383382297577,0.905552720972412,162.486575379434,235.270989149082,172.5002736828059,4.97833968468816
,3.12,5.10744281095078,0.503671419439567,8.15569147183739,346.2636222792555,44.07798233672779,32.45358730316257
,,3.448047973386236,.4998012080045604,2.848654636294081,188.8102656206689,115.3168891272439,94.54287551343205
,,3.45215357827758,0.499040120360139,2.84481020036925,188.9256753142995,115.2325343233014,23.64084019027458
,,4.08035723716121,0.661506727386572,13.4784074178521,160.714868044197,200.3582618971439,19.53759774139457
,1.58,4.489785903645472,.4754287676142775,9.339898417963099,313.0323545748532,127.5232197137293,41.68377677599364
,,3.505780291945367,.5384297030693533,3.610696486634454,267.6841949861678,216.3821697146897,2.923734869534633
,2.4,3.678881890993328,.4268951669033803,6.010511552651264,163.1076543116664,221.6907183654995,84.46262823455766
,,3.52862876870025,0.57800841084276,10.5021442034695,96.74903768918099,22.86372369456345,31.68213685772162
,2.9,5.587749927389681,.6509190323024351,19.77997964011996,358.0018642381609,169.0295202220291,24.1890970612711
,3.2,4.438474029980045,.6897325315715446,8.949907082161364,300.7413749069658,96.32254809159546,34.10993526032826
,10.8,3.862093193359074,.2674067251690955,9.388958447737568,65.4113357003969,210.1912999029514,201.0839972883767
,,6.00224069684791,0.787701486880903,18.7007363185961,22.21536497052719,257.249719336475,2.748548428873332
,4.0,3.463049865528343,.6410189001180967,7.040450026522257,50.14697961599386,12.77996164427588,303.710525763619
,4.4,4.8955055208880651207437,0.6406870098523979040194,11.143745927377530335888,175.331926501967,153.9795052071384,355.3616677714903
,,3.881643499563681,.4144624763356466,22.04601570933275,104.8809593923122,343.4481373761716,25.83257715246469
,3,3.673716582879139,.4537830383256968,6.600371653165859,119.2736960555956,2.023067326950341,327.2665936263563
,1.36,3.127133494405472,.498175178622493,9.480042735852868,59.61171339684534,208.9003484420799,80.75350038001254
,,4.333872980265234,.8190705474782365,9.16966637996105,36.11629706777776,337.8437355580032,356.7630565776822
,,3.05653029377592,0.694826910615125,11.4234875959962,69.94634151096726,198.7699786740593,17.91123786358211
,,3.0618412252795819128437,0.6932855208263886126474,11.396951947033860719216,69.89247679701043,198.7994525904428,357.4384229893136
,,3.063468722115394,.6922258013072282,11.37915705677313,69.84321690348189,198.8705914205202,23.73073531906494
,,3.06229329930756,0.6938774627627,11.4056211759106,69.91710448172594,198.7732444491985,356.7899338999595
,,3.06335181161612,0.693412971192622,11.3895622899332,69.90839960829794,198.7746010901946,349.8718318710391
,,3.06483261003617,0.693565806671118,11.3910638961291,69.9078914114573,198.7738044969675,349.8454221686491
,,3.04420865724153,0.691538816676964,11.380265457103,69.82886017812947,198.869444132752,345.3126333988963
,,3.06430700077958,0.693543485158215,11.3910646244732,69.89734340284451,198.7896438621016,349.8533881432975
,,3.07631556437795,0.694735674965028,11.3987127952321,69.93678268425323,198.7475944367357,349.8933270105301
,,3.06835160960417,0.693940938277251,11.3943614399649,69.90530158146959,198.7775561198109,349.8670730198247
,,3.05239117034204,0.692288993783599,11.3809412138733,69.89730281276252,198.7643511012408,349.7850410923837
,,3.08503544059736,0.695575899386973,11.4054219318703,69.95619989625854,198.7241361407526,350.0226321018555
,,3.11832472400051,0.698647244447971,11.4193580973025,70.13788751331991,198.4951921977602,350.2130766954646
,,3.06994234287616,0.694088213263508,11.3947263030202,69.91308584130121,198.769702114044,349.8891512863724
,,3.3340747694428,0.69335823324,11.0481813428788,81.99161507316578,181.562191599204,350.9725498756171
,,3.26075831524011,0.711932414090286,11.5122995825914,70.4760044162668,198.1833800675977,350.6764189561788
,,3.02441289019931,0.689397458779432,11.3598206486042,69.8327199189979,198.8353864788111,349.4994641452583
,,2.97607817120721,0.69348697056495,11.651823761982,65.24678693301523,204.9294792152065,349.3500381939082
,,3.10529750382754,0.697573249761406,11.4183179944517,70.01698506664813,198.6608054163719,350.0091178735023
,,3.07645099021487,0.694751288807723,11.3993873710683,69.92862059302733,198.7509795337178,349.8526548762619
,,3.34821195686902,0.719502303654523,11.5618412574595,70.66913935014475,197.9700546537453,351.0562620415104
,,3.07211624836372,0.69335823324,11.349472014182,70.49401080978578,198.0161462720894,349.876181395664
,,2.94109009142002,0.680633878945504,11.2950649353802,69.57271647354284,199.1079394823084,349.0246757133873
,,3.04180282124803,0.691246808725753,11.3731938601948,69.85894300547889,198.8169658347176,352.8076642007583
,,3.08254721749018,0.695367114577502,11.4052801907194,69.93380113835332,198.7526383059272,352.9561980522087
,,3.06777308736794,0.69335823324,11.3683658421522,70.21921728190907,198.3713234061079,349.7867838211022
,,3.0963752841415,0.696725656659651,11.4146906889204,69.97232230057514,198.7081422587468,349.9918356806567
,,2.90757509348788,0.676299018237858,11.2397327643991,69.84971349851291,198.7163902725815,349.2621879338159
,,3.08672271282378,0.695781146462459,11.4075896405856,69.9589661420688,198.7052943053087,349.8226734973686
,,3.07520604461415,0.69335823324,11.330632437678,70.70742060713012,197.7396253755624,349.8328553284363
,,3.111488252589795,.698251127367121,11.43065377185697,69.9710912389646,198.7294365495064,349.4588799116804
,,4.68497505729183,0.800195285662543,12.1493175429657,72.06227489809055,196.7656541361871,354.6531984313296
,,3.05798267872401,0.69335823324,11.4294972671815,69.37619102093456,199.3256981265443,349.792353539475
,,3.12759000072912,0.699842823483816,11.4439332846419,69.97977382957781,198.7225549045438,350.1270880157023
,,3.03591116618305,0.69335823324,11.5441980464116,68.11933346444872,201.0885963512684,349.7146820705487
,,3.07622840208973,0.694756955270123,11.4051415712495,69.89155967192667,198.8011953376514,349.895184725943
,,3.0720255879213,0.69376877393668,11.325884937118,70.38879700338832,198.1671916364014,349.9596645649388
,,3.14413946156757,0.701430092385429,11.4659092912232,69.9669785019781,198.7426204960793,353.5278506404665
,,3.08794215725399,0.695911908759867,11.4136956180962,69.92072504439952,198.7713164253278,353.1160119123984
,,3.08744810378797,0.695799013016798,11.406522554195,69.96630167530681,198.7098465902828,350.2237117938292
,,3.139576900192716,.7009701052570073,11.4609671423153,69.97402026227806,198.7247613547488,352.8664861346379
,,3.00135904388845,0.686932227480063,11.3346206138147,69.84813048476539,198.8104065064084,349.8990536028593
,,3.05783304672693,0.692822353452358,11.3822058521825,69.91454525670791,198.758306151452,349.8441439223119
,,3.06228436373416,0.69335823324,11.3951152975271,69.88524740736541,198.8335456057121,350.1609438825533
,,2.91373418607164,0.67730146390118,11.2395964153711,69.79453062090771,198.8339738442099,349.1189465722792
,,3.05014120644439,0.692470126439069,11.4277852827943,69.46695211432159,199.2512703220542,349.5464523883325
,,2.89370372170499,0.675089956009265,11.2258696408536,69.71151968098572,198.92203184,348.8068787861384
,,2.89390864978339,0.675069986179574,11.2207094103756,69.76425985850773,198.8670388615369,349.2480122686146
